                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                      0,               0.042791,                0.02071,               0.023412,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.07003,                0.00333,                0.00333
                      1,                0.02871,               0.012039,               0.016911,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.03943,              0.0060636,              0.0060636
                      2,               0.024996,                0.01151,               0.015397,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0082306,              0.0081973,              0.0081973
                      3,                0.02097,               0.011103,               0.014386,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 0.0073,                 0.0073,                 0.0073
                      4,               0.018621,               0.010735,               0.013421,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 0.0073,                 0.0073,                 0.0073
                      5,               0.016329,               0.010086,               0.012349,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 0.0064,                 0.0064,                 0.0064
                      6,                0.01443,              0.0097938,               0.011603,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 0.0055,                 0.0055,                 0.0055
                      7,               0.012869,              0.0092743,               0.010744,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 0.0046,                 0.0046,                 0.0046
                      8,               0.011429,               0.008996,              0.0099757,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 0.0037,                 0.0037,                 0.0037
                      9,               0.010097,                0.00865,              0.0091974,                      0,                0.99999,                0.98778,                0.98763,                0.98618,                0.99999,                0.98778,                0.98766,                0.98451,              0.0062175,              0.0046204,              0.0021704,                      0,                 0.0028,                 0.0028,                 0.0028
                     11,                0.99999,                0.98778,                0.98763,                0.98548,                0.99999,                0.98778,                0.98766,                0.98453,              0.0062168,              0.0046203,              0.0021705,                      0
